Prioridade	Numero	Nome	Query
1	1	 Disponibilidade do Container 	 up{container="inbound-hl7v2-router-container"}
1	2	 Reinicializações do Container 	 kube_pod_container_status_restarts_total{container="inbound-hl7v2-router-container"}
1	3	 Container Last Seen 	 time() - container_last_seen{container="inbound-hl7v2-router-container"}
1	4	 Uso de CPU do Container 	 rate(container_cpu_usage_seconds_total{container="inbound-hl7v2-router-container"}[5m])
1	5	 Uso de CPU do Sistema 	 rate(system_cpu_usage{container="inbound-hl7v2-router-container"}[5m])
1	6	 Load Average 1m do Nó 	 system_load_average_1m{container="inbound-hl7v2-router-container"}
1	7	 Quantidade de CPUs do Nó 	 system_cpu_count{container="inbound-hl7v2-router-container"}
1	8	 Uso de Memória do Container 	 container_memory_working_set_bytes{container="inbound-hl7v2-router-container"}
1	9	 Pico Máximo de Memória do Container 	 container_memory_max_usage_bytes{container="inbound-hl7v2-router-container"}
1	10	 Eventos OOM do Container 	 increase(container_oom_events_total{container="inbound-hl7v2-router-container"}[5m])
1	11	 Falhas de Memória do Container 	 increase(container_memory_failures_total{container="inbound-hl7v2-router-container"}[5m])
1	12	 Memory Allocation Failures 	 container_memory_failcnt{container="inbound-hl7v2-router-container"}
1	13	 Uso de Memória da JVM (%) 	 100 * jvm_memory_used_bytes{container="inbound-hl7v2-router-container"} / jvm_memory_max_bytes{container="inbound-hl7v2-router-container"}
1	14	 Tempo em Pausa de GC 	 100 * rate(jvm_gc_pause_seconds_sum{container="inbound-hl7v2-router-container"}[5m])
1	15	 Dados Vivos da JVM após GC 	 jvm_gc_live_data_size_bytes{container="inbound-hl7v2-router-container"}
1	16	 Memória Total Alocada pela JVM 	 rate(jvm_gc_memory_allocated_bytes_total{container="inbound-hl7v2-router-container"}[5m])
1	17	 Threads Ativas da JVM 	 jvm_threads_live_threads{container="inbound-hl7v2-router-container"}
1	18	 Pico Máximo de Threads da JVM 	 jvm_threads_peak_threads{container="inbound-hl7v2-router-container"}
1	19	 JVM Daemon Threads 	 jvm_threads_daemon_threads{container="inbound-hl7v2-router-container"}
1	20	 Estados das Threads da JVM 	 jvm_threads_states_threads{container="inbound-hl7v2-router-container"}
1	21	 Total de Threads Criadas pela JVM 	 rate(jvm_threads_started_threads_total{container="inbound-hl7v2-router-container"}[5m])
1	22	 HTTP Requests por Segundo 	 rate(http_server_requests_seconds_count{container="inbound-hl7v2-router-container"}[1m])
1	23	 HTTP Tempo Máximo de Resposta 	 http_server_requests_seconds_max{container="inbound-hl7v2-router-container"}
1	24	 HTTP Tempo Máximo de Request Ativo 	 http_server_requests_active_seconds_max{container="inbound-hl7v2-router-container"}
1	25	 HTTP Requests Ativos (observações) 	 rate(http_server_requests_active_seconds_sum{container="inbound-hl7v2-router-container"}[1m])
1	26	 Taxa de Erros HTTP 4xx 	 rate(http_server_requests_seconds_count{container="inbound-hl7v2-router-container",status=~"4.."}[1m])
1	27	 Taxa de Erros HTTP 5xx 	 rate(http_server_requests_seconds_count{container="inbound-hl7v2-router-container",status=~"5.."}[1m])
1	28	 Total de Requisições HTTP 	 increase(http_server_requests_seconds_count{container="inbound-hl7v2-router-container"}[5m])
1	29	 Latência Média HTTP 	 rate(http_server_requests_seconds_sum{container="inbound-hl7v2-router-container"}[5m]) / rate(http_server_requests_seconds_count{container="inbound-hl7v2-router-container"}[5m])
1	30	 Top 5 Endpoints mais Lentos 	 topk(5, rate(http_server_requests_seconds_sum{container="inbound-hl7v2-router-container"}[5m]) / rate(http_server_requests_seconds_count{container="inbound-hl7v2-router-container"}[5m]))
1	31	 Throughput de Requisições HTTP 	 rate(http_server_requests_seconds_count{container="inbound-hl7v2-router-container"}[5m])
1	32	 Conexões Ativas HTTP 	 http_server_requests_active_seconds_count{container="inbound-hl7v2-router-container"}
1	33	 Tempo Médio de Processamento HTTP 	 rate(http_server_requests_seconds_sum{container="inbound-hl7v2-router-container"}[1m])
1	34	 HTTP Percentil 95 de Latência 	 histogram_quantile(0.95, sum by (le) (rate(http_server_requests_seconds_bucket{container="inbound-hl7v2-router-container"}[5m])))
1	35	 HTTP Percentil 99 de Latência 	 histogram_quantile(0.99, sum by (le) (rate(http_server_requests_seconds_bucket{container="inbound-hl7v2-router-container"}[5m])))
1	36	 Total de Sessões HTTP Ativas 	 tomcat_sessions_active_current_sessions{container="inbound-hl7v2-router-container"}
1	37	 Pico Máximo de Sessões HTTP 	 tomcat_sessions_active_max_sessions{container="inbound-hl7v2-router-container"}
1	38	 Sessões HTTP Criadas 	 increase(tomcat_sessions_created_sessions_total{container="inbound-hl7v2-router-container"}[5m])
1	39	 Sessões HTTP Expiradas 	 increase(tomcat_sessions_expired_sessions_total{container="inbound-hl7v2-router-container"}[5m])
1	40	 Sessões HTTP Rejeitadas 	 increase(tomcat_sessions_rejected_sessions_total{container="inbound-hl7v2-router-container"}[5m])
1	41	 Tempo Máximo de Vida de Sessão 	 tomcat_sessions_alive_max_seconds{container="inbound-hl7v2-router-container"}
1	42	 Conexões JDBC Ativas 	 jdbc_connections_active{container="inbound-hl7v2-router-container"}
1	43	 Conexões JDBC Ociosas 	 jdbc_connections_idle{container="inbound-hl7v2-router-container"}
1	44	 Conexões JDBC Máximas 	 jdbc_connections_max{container="inbound-hl7v2-router-container"}
1	45	 Timeouts de Conexão JDBC 	 increase(jdbc_connections_timeout_total{container="inbound-hl7v2-router-container"}[5m])
1	46	 Conexões Pendentes JDBC 	 jdbc_connections_pending{container="inbound-hl7v2-router-container"}
1	47	 Pool JDBC Saturação (%) 	 100 * jdbc_connections_active{container="inbound-hl7v2-router-container"} / jdbc_connections_max{container="inbound-hl7v2-router-container"}
1	48	 Tempo Médio de Query JDBC 	 rate(jdbc_connections_usage_seconds_sum{container="inbound-hl7v2-router-container"}[5m]) / rate(jdbc_connections_usage_seconds_count{container="inbound-hl7v2-router-container"}[5m])
1	49	 Total de Queries JDBC Executadas 	 increase(jdbc_connections_usage_seconds_count{container="inbound-hl7v2-router-container"}[5m])
1	51	 Uso de Heap JVM (% Máximo) 	 100 * jvm_memory_used_bytes{container="inbound-hl7v2-router-container",area="heap"} / jvm_memory_max_bytes{container="inbound-hl7v2-router-container",area="heap"}
1	52	 Uso de Non-Heap JVM (MB) 	 jvm_memory_used_bytes{container="inbound-hl7v2-router-container",area="nonheap"} / 1024 / 1024
1	53	 Uso de Non-Heap JVM (% Reservado) 	 100 * jvm_memory_used_bytes{container="inbound-hl7v2-router-container",area="nonheap"} / jvm_memory_committed_bytes{container="inbound-hl7v2-router-container",area="nonheap"}
1	54	 Memória Heap Committed (MB) 	 jvm_memory_committed_bytes{container="inbound-hl7v2-router-container",area="heap"} / 1024 / 1024
1	55	 Memória Heap Máxima (MB) 	 jvm_memory_max_bytes{container="inbound-hl7v2-router-container",area="heap"} / 1024 / 1024
1	56	 Heap Após GC (Long-Lived) 	 jvm_memory_usage_after_gc{container="inbound-hl7v2-router-container",area="heap",pool="long-lived"} * 100
1	58	 Capacidade Máxima dos Dados Vivos na Heap 	 jvm_gc_max_data_size_bytes{container="inbound-hl7v2-router-container"}
1	60	 Taxa de Promoção para Old Gen 	 rate(jvm_gc_memory_promoted_bytes_total{container="inbound-hl7v2-router-container"}[5m])
1	61	 Frequência de Pausas do GC 	 rate(jvm_gc_pause_seconds_count{container="inbound-hl7v2-router-container"}[5m])
1	62	 Tempo Médio de Pausa do GC 	 rate(jvm_gc_pause_seconds_sum{container="inbound-hl7v2-router-container"}[5m]) / rate(jvm_gc_pause_seconds_count{container="inbound-hl7v2-router-container"}[5m])
1	63	 Maior Pausa do GC 	 jvm_gc_pause_seconds_max{container="inbound-hl7v2-router-container"}
1	64	 Overhead do Garbage Collector 	 jvm_gc_overhead{container="inbound-hl7v2-router-container"}
1	65	 Tempo Total em Pausas de GC 	 rate(jvm_gc_pause_seconds_sum{container="inbound-hl7v2-router-container"}[5m])
1	87	 Total de Requisições HTTP 	 sum(increase(http_server_requests_seconds_count{container="inbound-hl7v2-router-container"}[5m]))
1	88	 Tempo Médio de Resposta HTTP 	 sum(rate(http_server_requests_seconds_sum{container="inbound-hl7v2-router-container"}[5m])) / sum(rate(http_server_requests_seconds_count{container="inbound-hl7v2-router-container"}[5m]))
1	90	 Tempo Máximo de Requisições Ativas 	 avg_over_time(http_server_requests_active_seconds_max{container="inbound-hl7v2-router-container"}[5m])
1	91	 Taxa de Requisições HTTP Ativas 	 rate(http_server_requests_active_seconds_count{container="inbound-hl7v2-router-container"}[5m])
1	92	 Tempo Total de Requisições Ativas 	 rate(http_server_requests_active_seconds_sum{container="inbound-hl7v2-router-container"}[5m])
1	93	 Taxa de Sucesso HTTP (2xx) 	 sum(increase(http_server_requests_seconds_count{status=~"2..",uri!="/actuator/prometheus",container="inbound-hl7v2-router-container"}[5m]))
1	94	 Erros HTTP 5xx 	 sum(increase(http_server_requests_seconds_count{status=~"5..",uri!="/actuator/prometheus",container="inbound-hl7v2-router-container"}[5m]))
1	97	 Tarefas Enfileiradas no Executor 	 executor_queued_tasks{container="inbound-hl7v2-router-container"}
1	98	 Tarefas Enfileiradas no Executor (Média 5m) 	 avg_over_time(executor_queued_tasks{container="inbound-hl7v2-router-container"}[5m])
1	99	 Capacidade Restante da Fila do Executor 	 executor_queue_remaining_tasks{container="inbound-hl7v2-router-container"}
1	100	 Capacidade Restante da Fila do Executor (Média 5m) 	 avg_over_time(executor_queue_remaining_tasks{container="inbound-hl7v2-router-container"}[5m])
1	101	 Conexões JDBC Ativas 	 jdbc_connections_active{container="inbound-hl7v2-router-container"}
1	102	 Conexões JDBC Máximas 	 jdbc_connections_max{container="inbound-hl7v2-router-container"}
1	103	 Saturação do Pool JDBC (%) 	 100 * jdbc_connections_active{container="inbound-hl7v2-router-container"} / jdbc_connections_max{container="inbound-hl7v2-router-container"}
1	104	 Conexões JDBC Ociosas 	 jdbc_connections_idle{container="inbound-hl7v2-router-container"}
1	105	 Conexões JDBC Pendentes 	 jdbc_connections_pending{container="inbound-hl7v2-router-container"}
1	106	 Timeout de Conexões JDBC 	 increase(jdbc_connections_timeout_total{container="inbound-hl7v2-router-container"}[5m])
1	107	 Falhas na Aquisição JDBC 	 increase(jdbc_connections_acquire_failure_total{container="inbound-hl7v2-router-container"}[5m])
1	108	 Uso de CPU do Container (%) 	 100 * rate(container_cpu_usage_seconds_total{container="inbound-hl7v2-router-container"}[5m])
1	109	 Uso de Memória do Container (%) 	 100 * container_memory_usage_bytes{container="inbound-hl7v2-router-container"} / container_spec_memory_limit_bytes{container="inbound-hl7v2-router-container"}
1	110	 Uso de Memória do Container (MB) 	 container_memory_usage_bytes{container="inbound-hl7v2-router-container"} / 1024 / 1024
1	111	 Pico de Memória do Container 	 container_memory_max_usage_bytes{container="inbound-hl7v2-router-container"}
1	112	 OOM Kills do Container 	 increase(container_oom_events_total{container="inbound-hl7v2-router-container"}[5m])
1	113	 Uso de Disco do Container (%) 	 100 * container_fs_usage_bytes{container="inbound-hl7v2-router-container"} / container_fs_limit_bytes{container="inbound-hl7v2-router-container"}
1	116	 Throttling de CPU 	 rate(container_cpu_cfs_throttled_seconds_total{container="inbound-hl7v2-router-container"}[5m])
1	117	 Períodos de Throttling CPU 	 rate(container_cpu_cfs_throttled_periods_total{container="inbound-hl7v2-router-container"}[5m])
1	121	 Erros HTTP 4xx 	 sum(increase(http_server_requests_seconds_count{status=~"4..",uri!="/actuator/prometheus",container="inbound-hl7v2-router-container"}[5m]))
1	122	 Erros HTTP 5xx 	 sum(increase(http_server_requests_seconds_count{status=~"5..",uri!="/actuator/prometheus",container="inbound-hl7v2-router-container"}[5m]))
1	151	 Disponibilidade do Container 	 up{container="inbound-hl7v2-router-container"}
1	152	 Disponibilidade Média do Container (5m) 	 avg_over_time(up{container="inbound-hl7v2-router-container"}[5m])
1	153	 Reinícios do Container (Total) 	 container_restart_count{container="inbound-hl7v2-router-container"}
1	154	 Reinícios do Container (Últimos 5m) 	 increase(container_restart_count{container="inbound-hl7v2-router-container"}[5m])
1	155	 Tempo Desde Último Restart (s) 	 time() - container_start_time_seconds{container="inbound-hl7v2-router-container"}
1	156	 OOM Kill Detectado 	 increase(container_oom_events_total{container="inbound-hl7v2-router-container"}[5m])
2	50	 Uso de Heap JVM (MB) 	 jvm_memory_used_bytes{container="inbound-hl7v2-router-container",area="heap"} / 1024 / 1024
2	66	 Fases Concorrentes do GC (Count) 	 jvm_gc_concurrent_phase_time_seconds_count{container="inbound-hl7v2-router-container"}
2	67	 Tempo Total Fases Concorrentes do GC 	 jvm_gc_concurrent_phase_time_seconds_sum{container="inbound-hl7v2-router-container"}
2	68	 Maior Duração Fase Concorrente GC 	 jvm_gc_concurrent_phase_time_seconds_max{container="inbound-hl7v2-router-container"}
2	95	 Total de Endpoints Acessados 	 count(http_server_requests_seconds_count{container="inbound-hl7v2-router-container"}) by (uri)
2	96	 Taxa de Requisições para /actuator/health 	 http_server_requests_seconds_count{container="inbound-hl7v2-router-container"}
2	114	 Uso de Disco do Container (Bytes) 	 container_fs_usage_bytes{container="inbound-hl7v2-router-container"}
2	115	 Limite de Disco do Container 	 container_fs_limit_bytes{container="inbound-hl7v2-router-container"}
2	118	 Latência Percentil 95 HTTP 	 histogram_quantile(0.95, sum by (le) (rate(http_server_requests_seconds_bucket{container="inbound-hl7v2-router-container"}[5m])))
2	119	 Latência Percentil 99 HTTP 	 histogram_quantile(0.99, sum by (le) (rate(http_server_requests_seconds_bucket{container="inbound-hl7v2-router-container"}[5m])))
2	120	 Taxa de Requisições por URI 	 sum(rate(http_server_requests_seconds_count{container="inbound-hl7v2-router-container"}[5m])) by (uri)
2	123	 Sessões HTTP Ativas 	 tomcat_sessions_active_current_sessions{container="inbound-hl7v2-router-container"}
2	124	 Sessões HTTP Criadas 	 increase(tomcat_sessions_created_sessions_total{container="inbound-hl7v2-router-container"}[5m])
2	125	 Sessões HTTP Expiradas 	 increase(tomcat_sessions_expired_sessions_total{container="inbound-hl7v2-router-container"}[5m])
2	126	 Sessões HTTP Rejeitadas 	 increase(tomcat_sessions_rejected_sessions_total{container="inbound-hl7v2-router-container"}[5m])
2	157	 Tempo de Uptime do Processo 	 process_uptime_seconds{container="inbound-hl7v2-router-container"}
2	158	 Início do Processo JVM (Timestamp) 	 process_start_time_seconds{container="inbound-hl7v2-router-container"}
2	159	 Uso de CPU do Processo (%) 	 100 * rate(process_cpu_time_ns_total{container="inbound-hl7v2-router-container"}[5m]) / 1e9 / system_cpu_count
2	160	 Uso de Memória do Processo (Bytes) 	 process_resident_memory_bytes{container="inbound-hl7v2-router-container"}
3	73	 Tempo Total de Compilação JIT 	 jvm_compilation_time_ms_total{container="inbound-hl7v2-router-container"}
3	74	 Classes JVM Carregadas (Atuais) 	 jvm_classes_loaded_classes{container="inbound-hl7v2-router-container"}
3	75	 Total de Classes JVM Descarregadas 	 jvm_classes_unloaded_classes_total{container="inbound-hl7v2-router-container"}
3	76	 JVM Info (Versão e Ambiente) 	 jvm_info{container="inbound-hl7v2-router-container"}
3	77	 Buffers JVM – Quantidade 	 jvm_buffer_count_buffers{container="inbound-hl7v2-router-container"}
3	78	 Buffers JVM – Memória Usada (MB) 	 jvm_buffer_memory_used_bytes{container="inbound-hl7v2-router-container"} / 1024 / 1024
3	79	 Buffers JVM – Capacidade Total (MB) 	 jvm_buffer_total_capacity_bytes{container="inbound-hl7v2-router-container"} / 1024 / 1024
3	127	 Threads Ativas da JVM 	 jvm_threads_live_threads{container="inbound-hl7v2-router-container"}
3	128	 Threads Daemon da JVM 	 jvm_threads_daemon_threads{container="inbound-hl7v2-router-container"}
3	129	 Pico Máximo de Threads JVM 	 jvm_threads_peak_threads{container="inbound-hl7v2-router-container"}
3	130	 Total de Classes JVM Carregadas 	 jvm_classes_loaded_classes{container="inbound-hl7v2-router-container"}
3	131	 Total de Classes JVM Descarregadas 	 jvm_classes_unloaded_classes_total{container="inbound-hl7v2-router-container"}
3	132	 Tempo Total de Compilação JIT 	 jvm_compilation_time_ms_total{container="inbound-hl7v2-router-container"}
3	133	 Buffers JVM – Quantidade 	 jvm_buffer_count_buffers{container="inbound-hl7v2-router-container"}
3	134	 Buffers JVM – Memória Usada 	 jvm_buffer_memory_used_bytes{container="inbound-hl7v2-router-container"}
3	135	 Buffers JVM – Capacidade Total 	 jvm_buffer_total_capacity_bytes{container="inbound-hl7v2-router-container"}
3	136	 Uptime da JVM (Segundos) 	 process_uptime_seconds{container="inbound-hl7v2-router-container"}
3	137	 Início do Processo JVM 	 process_start_time_seconds{container="inbound-hl7v2-router-container"}
3	138	 Arquivos Abertos pelo Processo 	 process_files_open_files{container="inbound-hl7v2-router-container"}
3	139	 Limite Máximo de Arquivos 	 process_files_max_files{container="inbound-hl7v2-router-container"}
3	140	 Info do Processo 	 process_cpu_seconds_total{container="inbound-hl7v2-router-container"}
3	141	 Informações do Sistema 	 system_cpu_count
3	142	 Load Average do Sistema 	 system_load_average_1m
3	143	 Info do Container 	 container_start_time_seconds{container="inbound-hl7v2-router-container"}
3	144	 Reinícios do Container 	 container_restart_count{container="inbound-hl7v2-router-container"}
3	145	 Tempo Desde Último Restart 	 time() - container_start_time_seconds{container="inbound-hl7v2-router-container"}
3	146	 Métrica de Health Check 	 up{container="inbound-hl7v2-router-container"}
3	147	 Health Check Médio (5m) 	 avg_over_time(up{container="inbound-hl7v2-router-container"}[5m])
3	148	 Scrapes com Sucesso 	 scrape_samples_scraped{job="inbound-hl7v2-router"}
3	149	 Scrapes Falhos 	 scrape_samples_failed{job="inbound-hl7v2-router"}
3	150	 Último Timestamp de Scrape 	 scrape_duration_seconds{job="inbound-hl7v2-router"}
3	161	 Arquivos Abertos pelo Processo 	 process_files_open_files{container="inbound-hl7v2-router-container"}
3	162	 Limite Máximo de Arquivos do Processo 	 process_files_max_files{container="inbound-hl7v2-router-container"}
3	163	 Threads Ativas do Processo 	 process_threads{container="inbound-hl7v2-router-container"}
3	164	 Load Average 1m 	 system_load_average_1m
3	165	 Load Average 5m 	 system_load_average_5m
3	166	 Load Average 15m 	 system_load_average_15m
3	167	 CPU Cores Disponíveis 	 system_cpu_count
3	168	 Duração do Scrape Prometheus 	 scrape_duration_seconds{job="inbound-hl7v2-router"}
3	169	 Amostras Coletadas no Scrape 	 scrape_samples_scraped{job="inbound-hl7v2-router"}
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
