Numero	Criticidade	Nome	Query
1	1	 Disponibilidade do container 	 up{container="hip-backoffice"}
2	1	 Status de prontidão do container 	 kube_pod_container_status_ready{container="hip-backoffice"}
3	1	 Reinícios do container 	 kube_pod_container_status_restarts_total{container="hip-backoffice"}
4	1	 Última observação do container 	 container_last_seen{container="hip-backoffice"}
11	1	 Eventos de OOM do container 	 container_oom_events_total{container="hip-backoffice"}
12	1	 Falhas de memória do container 	 container_memory_failures_total{container="hip-backoffice"}
24	1	 Erros HTTP 5xx 	 rate(http_server_requests_seconds_count{container="hip-backoffice",status=~"5.."}[1m])
30	1	 Timeout de conexões HikariCP 	 hikaricp_connections_timeout_total{container="hip-backoffice"}
33	1	 Inodes livres críticos 	 container_fs_inodes_free{container="hip-backoffice"}
41	1	 RabbitMQ consumer parado 	 rate(rabbitmq_consumed_total{container="hip-backoffice"}[5m]) == 0
43	1	 RabbitMQ mensagens rejeitadas 	 rate(rabbitmq_channel_messages_rejected_total[5m])
44	1	 RabbitMQ mensagens não roteadas 	 rate(rabbitmq_channel_messages_unroutable_dropped_total[5m])
48	1	 RabbitMQ consumidores ativos 	 rabbitmq_queue_consumers == 0
52	1	 RabbitMQ erros de publicação 	 rate(rabbitmq_channel_messages_unroutable_returned_total[5m])
58	1	 Pressão crítica de memória no nó 	 node_memory_MemAvailable_bytes < 500000000
61	1	 Disco do nó quase cheio 	 node_filesystem_free_bytes < 0.1 * node_filesystem_size_bytes
63	1	 Inodes críticos no nó 	 node_filesystem_files_free < 10000
72	1	 Pod não pronto 	 kube_pod_status_ready{condition="false"}
73	1	 Pod em estado Failed 	 kube_pod_status_phase{phase="Failed"}
74	1	 Pod em CrashLoopBackOff 	 kube_pod_container_status_waiting_reason{reason="CrashLoopBackOff"}
77	1	 Pods reiniciando excessivamente 	 rate(kube_pod_container_status_restarts_total[5m]) > 0
87	1	 Node NotReady 	 kube_node_status_condition{condition="Ready",status="false"}
94	1	 Falhas de memória do container 	 container_memory_failcnt{container="hip-backoffice"}
95	1	 Eventos OOM do container 	 container_oom_events_total{container="hip-backoffice"}
102	1	 Container não pronto 	 kube_pod_container_status_ready{container="hip-backoffice"} == 0
103	1	 Container em Waiting 	 kube_pod_container_status_waiting{container="hip-backoffice"}
104	1	 Container Terminated 	 kube_pod_container_status_terminated{container="hip-backoffice"}
105	1	 Restarts do container 	 kube_pod_container_status_restarts_total{container="hip-backoffice"}
129	1	 Maior pausa GC 	 jvm_gc_pause_seconds_max{container="hip-backoffice"}
154	1	 Sessões HTTP rejeitadas 	 increase(tomcat_sessions_rejected_sessions_total{container="hip-backoffice"}[5m])
158	1	 Tempo máximo de autorização 	 max_over_time(spring_security_authorizations_seconds_max{container="hip-backoffice"}[5m])
178	1	 Falhas ao publicar mensagens 	 rabbitmq_failed_to_publish_total{container="hip-backoffice"}
179	1	 Mensagens rejeitadas RabbitMQ 	 rabbitmq_rejected_total{container="hip-backoffice"}
5	2	 Tempo desde última observação 	 time() - container_last_seen{container="hip-backoffice"}
6	2	 Uso total de CPU do container 	 container_cpu_usage_seconds_total{container="hip-backoffice"}
7	2	 Uso instantâneo de CPU 	 rate(container_cpu_usage_seconds_total{container="hip-backoffice"}[1m])
9	2	 Memória ativa do container 	 container_memory_working_set_bytes{container="hip-backoffice"}
10	2	 Uso máximo de memória do container 	 container_memory_max_usage_bytes{container="hip-backoffice"}
13	2	 Uso de Heap JVM (%) 	 100 * jvm_memory_used_bytes{area="heap",container="hip-backoffice"} / jvm_memory_max_bytes{area="heap",container="hip-backoffice"}
22	2	 Latência HTTP média 	 http_server_requests_seconds_sum{container="hip-backoffice"} / http_server_requests_seconds_count{container="hip-backoffice"}
23	2	 Latência HTTP p95 	 histogram_quantile(0.95, rate(http_server_requests_seconds_bucket{container="hip-backoffice"}[5m]))
25	2	 Requisições HTTP por segundo 	 rate(http_server_requests_seconds_count{container="hip-backoffice"}[1m])
26	2	 Conexões ativas HikariCP 	 hikaricp_connections_active{container="hip-backoffice"}
27	2	 Conexões ociosas HikariCP 	 hikaricp_connections_idle{container="hip-backoffice"}
28	2	 Conexões pendentes HikariCP 	 hikaricp_connections_pending{container="hip-backoffice"}
31	2	 Uso de disco do container 	 container_fs_usage_bytes{container="hip-backoffice"}
32	2	 Uso percentual de disco 	 100 * container_fs_usage_bytes{container="hip-backoffice"} / container_fs_limit_bytes{container="hip-backoffice"}
34	2	 Uso de inodes (%) 	 100 * (container_fs_inodes_total{container="hip-backoffice"} - container_fs_inodes_free{container="hip-backoffice"}) / container_fs_inodes_total{container="hip-backoffice"}
37	2	 Tráfego de rede recebido 	 rate(container_network_receive_bytes_total{container="hip-backoffice"}[5m])
38	2	 Tráfego de rede enviado 	 rate(container_network_transmit_bytes_total{container="hip-backoffice"}[5m])
42	2	 RabbitMQ mensagens consumidas 	 rate(rabbitmq_consumed_total{container="hip-backoffice"}[5m])
47	2	 RabbitMQ mensagens totais na fila 	 rabbitmq_queue_messages
49	2	 RabbitMQ conexões abertas 	 rabbitmq_connections
50	2	 RabbitMQ canais abertos 	 rabbitmq_channels
54	2	 CPU do nó Kubernetes 	 node_cpu_seconds_total
55	2	 Uso de CPU do nó (%) 	 100 * (1 - avg(rate(node_cpu_seconds_total{mode="idle"}[5m])))
56	2	 Memória usada do nó 	 node_memory_MemTotal_bytes - node_memory_MemAvailable_bytes
57	2	 Memória disponível do nó 	 node_memory_MemAvailable_bytes
59	2	 Uso de swap do nó 	 node_memory_SwapTotal_bytes - node_memory_SwapFree_bytes
60	2	 Uso de disco do nó 	 node_filesystem_size_bytes - node_filesystem_free_bytes
62	2	 Inodes livres do nó 	 node_filesystem_files_free
68	2	 Tráfego de rede recebido no nó 	 rate(node_network_receive_bytes_total[5m])
69	2	 Tráfego de rede enviado no nó 	 rate(node_network_transmit_bytes_total[5m])
75	2	 Pods em execução 	 kube_pod_status_phase{phase="Running"}
78	2	 Requests de CPU alocados 	 kube_pod_container_resource_requests_cpu_cores
79	2	 Limits de CPU alocados 	 kube_pod_container_resource_limits_cpu_cores
80	2	 Requests de memória alocados 	 kube_pod_container_resource_requests_memory_bytes
81	2	 Limits de memória alocados 	 kube_pod_container_resource_limits_memory_bytes
88	2	 Nodes Ready 	 kube_node_status_condition{condition="Ready",status="true"}
91	2	 Uso de CPU do container (cores) 	 node_namespace_pod_container:container_cpu_usage_seconds_total:sum_irate{container="hip-backoffice"}
92	2	 Uso de memória RSS do container 	 container_memory_rss{container="hip-backoffice"}
93	2	 Uso de memória Working Set 	 node_namespace_pod_container:container_memory_working_set_bytes{container="hip-backoffice"}
